event_id,session_id,event_type,event_ts,product_id,order_id
E10000044,S5000008,purchase,2024-10-28 01:08:00,,O1000008
E10000045,S5000009,page_view,2026-06-26 20:17:00,,
E10000046,S5000009,product_view,2026-06-26 20:19:00,,
E10000047,S5000009,add_to_cart,2026-06-26 20:22:00,,
E10000048,S5000009,begin_checkout,2026-06-26 20:31:00,,
E10000049,S5000009,purchase,2026-06-26 20:34:00,,O1000009
E10000050,S5000010,page_view,2026-02-05 21:56:00,,
E10000051,S5000010,product_view,2026-02-05 22:00:00,,
E10000052,S5000010,add_to_cart,2026-02-05 22:03:00,,
E10000053,S5000010,begin_checkout,2026-02-05 22:08:00,,
E10000054,S5000010,purchase,2026-02-05 22:16:00,,O1000010
E10000055,S5000011,page_view,2026-04-03 19:04:00,,
E10000056,S5000011,product_view,2026-04-03 19:04:00,,
E10000057,S5000011,add_to_cart,2026-04-03 19:09:00,,
E10000058,S5000011,begin_checkout,2026-04-03 19:15:00,,
E10000059,S5000011,purchase,2026-04-03 19:21:00,,O1000011
E10000060,S5000012,page_view,2026-06-18 12:45:00,,
E10000061,S5000012,product_view,2026-06-18 12:45:00,,
E10000062,S5000012,add_to_cart,2026-06-18 12:50:00,,
E10000063,S5000012,begin_checkout,2026-06-18 12:56:00,,
E10000064,S5000012,purchase,2026-06-18 13:03:00,,O1000012
E10000065,S5000013,page_view,2026-06-27 11:59:00,,
E10000066,S5000013,product_view,2026-06-27 12:03:00,,
E10000067,S5000013,add_to_cart,2026-06-27 12:06:00,,
E10000068,S5000013,begin_checkout,2026-06-27 12:11:00,,
E10000069,S5000013,purchase,2026-06-27 12:19:00,,O1000013
E10000070,S5000014,page_view,2024-11-25 11:46:00,,
E10000071,S5000014,product_view,2024-11-25 11:48:00,,
E10000072,S5000014,add_to_cart,2024-11-25 11:50:00,,
E10000073,S5000014,begin_checkout,2024-11-25 11:56:00,,
E10000074,S5000014,purchase,2024-11-25 12:05:00,,O1000014
E10000075,S5000015,page_view,2026-02-04 12:22:00,,
E10000076,S5000015,product_view,2026-02-04 12:24:00,,
E10000077,S5000015,add_to_cart,2026-02-04 12:27:00,,
E10000078,S5000015,begin_checkout,2026-02-04 12:33:00,,
E10000079,S5000015,purchase,2026-02-04 12:39:00,,O1000015
E10000080,S5000016,page_view,2026-02-15 22:25:00,,
E10000081,S5000016,product_view,2026-02-15 22:29:00,,
E10000082,S5000016,add_to_cart,2026-02-15 22:30:00,,
E10000083,S5000016,begin_checkout,2026-02-15 22:38:00,,
E10000084,S5000016,purchase,2026-02-15 22:43:00,,O1000016
E10000085,S5000017,page_view,2026-06-22 11:15:00,,
E10000086,S5000017,product_view,2026-06-22 11:19:00,,
E10000087,S5000017,add_to_cart,2026-06-22 11:22:00,,
E10000088,S5000017,begin_checkout,2026-06-22 11:26:00,,
E10000089,S5000017,purchase,2026-06-22 11:32:00,,O1000017
E10000090,S5000018,page_view,2025-11-23 00:51:00,,
E10000091,S5000018,product_view,2025-11-23 00:55:00,,
E10000092,S5000018,add_to_cart,2025-11-23 00:57:00,,
E10000093,S5000018,begin_checkout,2025-11-23 01:04:00,,
E10000094,S5000018,purchase,2025-11-23 01:10:00,,O1000018
E10000095,S5000019,page_view,2026-06-16 13:03:00,,
E10000096,S5000019,product_view,2026-06-16 13:05:00,,
E10000097,S5000019,add_to_cart,2026-06-16 13:09:00,,
E10000098,S5000019,begin_checkout,2026-06-16 13:14:00,,
E10000099,S5000019,purchase,2026-06-16 13:18:00,,O1000019
E10000100,S5000020,page_view,2025-08-01 08:23:00,,
E10000101,S5000020,product_view,2025-08-01 08:23:00,,
E10000102,S5000020,add_to_cart,2025-08-01 08:27:00,,
E10000103,S5000020,begin_checkout,2025-08-01 08:36:00,,
E10000104,S5000020,purchase,2025-08-01 08:41:00,,O1000020
E10000105,S5000021,page_view,2025-06-16 11:50:00,,
E10000106,S5000021,product_view,2025-06-16 11:55:00,,
E10000107,S5000021,add_to_cart,2025-06-16 11:56:00,,
E10000108,S5000021,begin_checkout,2025-06-16 12:05:00,,
E10000109,S5000021,purchase,2025-06-16 12:11:00,,O1000021
E10000110,S5000022,page_view,2026-02-25 20:31:00,,
E10000111,S5000022,product_view,2026-02-25 20:34:00,,
E10000112,S5000022,add_to_cart,2026-02-25 20:39:00,,
E10000113,S5000022,begin_checkout,2026-02-25 20:42:00,,
E10000114,S5000022,purchase,2026-02-25 20:49:00,,O1000022
E10000115,S5000023,page_view,2025-11-01 09:29:00,,
E10000116,S5000023,product_view,2025-11-01 09:32:00,,
E10000117,S5000023,add_to_cart,2025-11-01 09:35:00,,
E10000118,S5000023,begin_checkout,2025-11-01 09:40:00,,
E10000119,S5000023,purchase,2025-11-01 09:47:00,,O1000023
E10000120,S5000024,page_view,2026-01-30 12:55:00,,
E10000121,S5000024,product_view,2026-01-30 12:56:00,,
E10000122,S5000024,add_to_cart,2026-01-30 13:02:00,,
E10000123,S5000024,begin_checkout,2026-01-30 13:09:00,,
E10000124,S5000024,purchase,2026-01-30 13:13:00,,O1000024
E10000125,S5000025,page_view,2024-11-05 11:54:00,,
E10000126,S5000025,product_view,2024-11-05 11:58:00,,
E10000127,S5000025,add_to_cart,2024-11-05 11:59:00,,
E10000128,S5000025,begin_checkout,2024-11-05 12:08:00,,
E10000129,S5000025,purchase,2024-11-05 12:12:00,,O1000025
E10000130,S5000026,page_view,2024-11-06 09:10:00,,
E10000131,S5000026,product_view,2024-11-06 09:14:00,,
E10000132,S5000026,add_to_cart,2024-11-06 09:16:00,,
E10000133,S5000026,begin_checkout,2024-11-06 09:22:00,,
E10000134,S5000026,purchase,2024-11-06 09:28:00,,O1000026
E10000135,S5000027,page_view,2026-03-09 06:29:00,,
E10000136,S5000027,product_view,2026-03-09 06:32:00,,
E10000137,S5000027,add_to_cart,2026-03-09 06:37:00,,
E10000138,S5000027,begin_checkout,2026-03-09 06:42:00,,
E10000139,S5000027,purchase,2026-03-09 06:48:00,,O1000027
E10000140,S5000028,page_view,2026-03-20 08:13:00,,
E10000141,S5000028,product_view,2026-03-20 08:15:00,,
E10000142,S5000028,add_to_cart,2026-03-20 08:18:00,,
E10000143,S5000028,begin_checkout,2026-03-20 08:22:00,,
E10000144,S5000028,purchase,2026-03-20 08:30:00,,O1000028
E10000145,S5000029,page_view,2026-03-21 11:45:00,,
E10000146,S5000029,product_view,2026-03-21 11:48:00,,
E10000147,S5000029,add_to_cart,2026-03-21 11:53:00,,
E10000148,S5000029,begin_checkout,2026-03-21 11:57:00,,
E10000149,S5000029,purchase,2026-03-21 12:04:00,,O1000029
E10000150,S5000030,page_view,2025-12-02 10:46:00,,
E10000151,S5000030,product_view,2025-12-02 10:50:00,,
E10000152,S5000030,add_to_cart,2025-12-02 10:55:00,,
E10000153,S5000030,begin_checkout,2025-12-02 10:59:00,,
E10000154,S5000030,purchase,2025-12-02 11:04:00,,O1000030
E10000155,S5000031,product_view,2026-04-30 21:37:00,,
E10000156,S5000031,page_view,2026-04-30 21:38:00,,
E10000157,S5000031,add_to_cart,2026-04-30 21:44:00,,
E10000158,S5000031,begin_checkout,2026-04-30 21:47:00,,
E10000159,S5000031,purchase,2026-04-30 21:53:00,,O1000031
E10000160,S5000032,page_view,2026-05-26 13:03:00,,
E10000161,S5000032,product_view,2026-05-26 13:05:00,,
E10000162,S5000032,add_to_cart,2026-05-26 13:06:00,,
E10000163,S5000032,begin_checkout,2026-05-26 13:12:00,,
E10000164,S5000032,purchase,2026-05-26 13:19:00,,O1000032
E10000165,S5000033,product_view,2025-06-10 20:42:00,,
E10000166,S5000033,page_view,2025-06-10 20:43:00,,
E10000167,S5000033,add_to_cart,2025-06-10 20:47:00,,
E10000168,S5000033,begin_checkout,2025-06-10 20:53:00,,
E10000169,S5000033,purchase,2025-06-10 21:01:00,,O1000033
E10000170,S5000034,product_view,2026-06-17 19:50:00,,
E10000171,S5000034,page_view,2026-06-17 19:51:00,,
E10000172,S5000034,add_to_cart,2026-06-17 19:54:00,,
E10000173,S5000034,begin_checkout,2026-06-17 20:00:00,,
E10000174,S5000034,purchase,2026-06-17 20:06:00,,O1000034
E10000175,S5000035,page_view,2026-04-20 18:56:00,,
E10000176,S5000035,product_view,2026-04-20 18:59:00,,
E10000177,S5000035,add_to_cart,2026-04-20 19:01:00,,
E10000178,S5000035,begin_checkout,2026-04-20 19:09:00,,
E10000179,S5000035,purchase,2026-04-20 19:15:00,,O1000035
E10000180,S5000036,page_view,2026-05-10 07:27:00,,
E10000181,S5000036,product_view,2026-05-10 07:29:00,,
E10000182,S5000036,add_to_cart,2026-05-10 07:35:00,,
E10000183,S5000036,begin_checkout,2026-05-10 07:39:00,,
E10000184,S5000036,purchase,2026-05-10 07:46:00,,O1000036
E10000185,S5000037,page_view,2025-03-20 19:49:00,,
E10000186,S5000037,product_view,2025-03-20 19:50:00,,
E10000187,S5000037,add_to_cart,2025-03-20 19:56:00,,
E10000188,S5000037,begin_checkout,2025-03-20 20:00:00,,
E10000189,S5000037,purchase,2025-03-20 20:07:00,,O1000037
E10000190,S5000038,page_view,2025-08-02 13:54:00,,
E10000191,S5000038,product_view,2025-08-02 13:56:00,,
E10000192,S5000038,add_to_cart,2025-08-02 14:01:00,,
E10000193,S5000038,begin_checkout,2025-08-02 14:07:00,,
E10000194,S5000038,purchase,2025-08-02 14:12:00,,O1000038
E10000195,S5000039,page_view,2025-08-08 08:36:00,,
E10000196,S5000039,product_view,2025-08-08 08:38:00,,
E10000197,S5000039,add_to_cart,2025-08-08 08:41:00,,
E10000198,S5000039,begin_checkout,2025-08-08 08:47:00,,
E10000199,S5000039,purchase,2025-08-08 08:56:00,,O1000039
