review_id,customer_id,order_id,review_ts,star_rating,nps_score,review_channel
R300128,C107333,O1011842,2026-04-04 12:09:00,3,8,app
R300129,C107493,O1012123,2025-01-05 13:24:00,2,5,email_survey
R300130,C108136,O1013112,2025-12-13 13:33:00,2,5,email_survey
R300131,C101832,O1002956,2026-03-24 12:14:00,5,10,email_survey
R300132,C106240,O1010042,2026-03-29 20:14:00,4,9,email_survey
R300133,C105125,O1008251,2024-08-24 18:39:00,2,5,email_survey
R300134,C103271,O1005273,2025-12-14 18:03:00,5,9,onsite
R300135,C104249,O1006888,2026-06-03 12:09:00,3,7,email_survey
R300136,C103643,O1005871,2025-01-17 09:58:00,4,8,email_survey
R300137,C107839,O1012636,2025-12-25 15:57:00,4,8,email_survey
R300138,C100187,O1000319,2025-02-24 19:51:00,4,8,email_survey
R300139,C107089,O1011414,2025-04-17 21:12:00,4,9,email_survey
R300140,C103920,O1006342,2025-10-07 18:43:00,5,9,email_survey
R300141,C105064,O1008163,2026-06-05 19:15:00,5,10,email_survey
R300142,C101612,O1002623,2026-04-03 20:32:00,3,7,email_survey
R300143,C110975,O1017760,2025-05-14 20:18:00,5,10,email_survey
R300144,C105394,O1008708,2026-04-10 20:32:00,5,10,email_survey
R300145,C104999,O1008062,2025-12-18 10:21:00,5,9,email_survey
R300146,C109089,O1014660,2025-08-04 08:56:00,5,9,email_survey
R300147,C108149,O1013129,2024-10-22 14:28:00,3,6,email_survey
R300148,C104068,O1006590,2026-06-02 19:33:00,3,7,app
R300149,C111574,O1018696,2026-05-19 16:48:00,4,8,onsite
R300150,C105529,O1008903,2026-05-05 21:59:00,5,9,email_survey
R300151,C108053,O1012978,2026-01-11 19:35:00,5,9,email_survey
R300152,C109056,O1014611,2025-12-03 21:21:00,5,10,email_survey
R300153,C101742,O1002825,2024-09-03 22:32:00,5,10,onsite
R300154,C102194,O1003567,2026-06-18 13:38:00,5,10,email_survey
R300155,C110746,O1017373,2026-03-10 21:39:00,4,9,app
R300156,C103074,O1004946,2026-07-02 19:17:00,5,10,email_survey
R300157,C109343,O1015042,2025-01-01 06:35:00,4,8,email_survey
R300158,C103604,O1005816,2026-06-15 08:22:00,5,9,email_survey
R300159,C111477,O1018559,2026-04-06 19:39:00,5,10,email_survey
R300160,C105181,O1008359,2025-07-05 19:06:00,5,9,email_survey
R300161,C105723,O1009198,2026-06-13 07:04:00,4,8,email_survey
R300162,C111075,O1017905,2025-08-13 22:14:00,3,6,onsite
R300163,C108556,O1013791,2026-02-12 12:50:00,3,7,onsite
R300164,C108952,O1014434,2025-11-08 19:54:00,5,9,email_survey
R300165,C111596,O1018733,2025-08-20 12:02:00,4,9,email_survey
R300166,C101758,O1002854,2026-06-03 01:25:00,5,10,email_survey
R300167,C110525,O1017015,2026-06-13 09:45:00,5,10,email_survey
R300168,C102097,O1003376,2025-08-24 10:24:00,3,6,onsite
R300169,C100889,O1001474,2025-12-14 08:28:00,5,10,email_survey
R300170,C110443,O1016878,2026-01-10 05:07:00,5,10,email_survey
R300171,C102193,O1003565,2024-10-22 08:48:00,4,9,email_survey
R300172,C100862,O1001425,2026-04-10 07:43:00,4,8,email_survey
R300173,C108841,O1014235,2025-11-21 20:40:00,4,8,email_survey
R300174,C104946,O1007983,2026-02-21 20:40:00,5,10,onsite
R300175,C107650,O1012353,2026-06-08 22:37:00,5,9,email_survey
R300176,C109993,O1016098,2025-04-10 00:33:00,1,1,email_survey
R300177,C102679,O1004336,2025-05-16 06:47:00,5,10,email_survey
R300178,C109060,O1014624,2026-04-23 21:26:00,3,7,email_survey
R300179,C105409,O1008726,2026-04-23 12:39:00,2,5,email_survey
R300180,C102769,O1004465,2026-07-15 21:23:00,5,10,onsite
R300181,C104833,O1007800,2026-06-28 10:57:00,4,8,email_survey
R300182,C111831,O1019094,2025-01-13 22:50:00,5,9,email_survey
R300183,C102099,O1003380,2025-12-18 20:20:00,4,9,onsite
R300184,C110685,O1017278,2026-06-01 10:26:00,5,10,app
R300185,C102797,O1004518,2026-04-15 10:26:00,4,9,email_survey
R300186,C102803,O1004532,2025-11-25 05:36:00,5,9,email_survey
R300187,C105289,O1008528,2026-07-03 13:25:00,4,9,onsite
R300188,C111121,O1017983,2025-10-06 21:28:00,5,10,email_survey
R300189,C103840,O1006191,2026-04-03 17:05:00,5,9,onsite
R300190,C101173,O1001900,2026-04-04 17:44:00,4,8,onsite
R300191,C102805,O1004536,2025-10-02 17:40:00,4,9,email_survey
R300192,C109959,O1016055,2025-05-29 20:37:00,3,8,email_survey
R300193,C105503,O1008864,2026-04-14 20:40:00,2,4,email_survey
R300194,C109449,O1015219,2025-06-23 04:14:00,4,8,email_survey
R300195,C100675,O1001114,2025-09-24 19:09:00,5,9,onsite
R300196,C108711,O1014037,2025-10-12 10:29:00,4,9,email_survey
R300197,C101950,O1003140,2026-07-02 19:33:00,4,9,app
R300198,C106217,O1009997,2026-06-10 20:33:00,5,10,email_survey
R300199,C109883,O1015938,2025-04-21 19:11:00,4,8,email_survey
