order_item_id,order_id,product_id,quantity,unit_price_at_sale,line_discount
OI2000118,O1000071,P10064,1,22.8,0.0
OI2000119,O1000072,P10044,3,9.64,0.0
OI2000120,O1000072,P10468,1,17.77,0.0
OI2000121,O1000073,P10393,1,22.63,0.0
OI2000122,O1000073,P10336,1,19.68,0.0
OI2000123,O1000074,P10449,1,59.79,0.0
OI2000124,O1000074,P10015,1,10.4,0.0
OI2000125,O1000075,P10133,1,102.62,0.0
OI2000126,O1000075,P10241,1,6.72,0.0
OI2000127,O1000075,P10172,1,23.31,0.0
OI2000128,O1000075,P10111,1,12.55,0.0
OI2000129,O1000076,P10301,1,64.17,0.0
OI2000130,O1000077,P10425,1,16.21,0.0
OI2000131,O1000078,P10102,3,150.66,45.2
OI2000132,O1000078,P10308,1,15.43,0.0
OI2000133,O1000078,P10019,1,2744.0,0.0
OI2000134,O1000079,P10079,1,101.68,0.0
OI2000135,O1000079,P10042,1,8.45,0.0
OI2000136,O1000080,P10472,1,14.02,0.0
OI2000137,O1000080,P10314,2,15.41,0.0
OI2000138,O1000081,P10103,1,27.89,0.0
OI2000139,O1000082,P10285,1,19.78,0.0
OI2000140,O1000083,P10183,1,27.06,0.0
OI2000141,O1000083,P10375,1,10.41,0.0
OI2000142,O1000084,P10252,1,57.23,0.0
OI2000143,O1000085,P10146,1,38.81,0.0
OI2000144,O1000086,P10245,1,32.0,0.0
OI2000145,O1000086,P10425,1,16.61,0.0
OI2000146,O1000087,P10355,1,210.19,0.0
OI2000147,O1000087,P10344,1,44.76,0.0
OI2000148,O1000088,P10084,1,22.71,0.0
OI2000149,O1000089,P10156,1,131.57,0.0
OI2000150,O1000089,P10340,1,21.84,0.0
OI2000151,O1000090,P10035,1,23.41,0.0
OI2000152,O1000090,P10328,1,60.8,0.0
OI2000153,O1000090,P10321,-1,52.27,0.0
OI2000154,O1000090,P10157,1,14.93,0.0
OI2000155,O1000091,P10112,1,216.81,0.0
OI2000156,O1000091,P10103,1,27.89,0.0
OI2000157,O1000091,P10204,0,19.7,1.97
OI2000158,O1000091,P10365,1,14.12,0.0
OI2000159,O1000092,P10365,2,14.0,0.0
OI2000160,O1000093,P10146,2,36.15,0.0
OI2000161,O1000094,P10168,1,15.49,0.0
OI2000162,O1000095,P10201,1,16.73,0.0
OI2000163,O1000095,P10169,1,39.25,0.0
OI2000164,O1000095,P10307,1,18.36,1.84
OI2000165,O1000096,P10201,1,17.59,0.0
OI2000166,O1000096,P10276,1,17.83,0.0
OI2000167,O1000097,P10319,1,30.76,3.08
OI2000168,O1000097,P10090,1,38.07,0.0
OI2000169,O1000098,P10263,2,11.88,0.0
OI2000170,O1000099,P10084,1,22.78,0.0
OI2000171,O1000099,P10030,1,97.02,0.0
OI2000172,O1000100,P10472,1,13.44,0.0
OI2000173,O1000101,P10042,1,9.16,0.0
OI2000174,O1000102,P10255,1,36.13,0.0
OI2000175,O1000103,P10180,1,9.81,0.0
OI2000176,O1000103,P10383,1,112.33,0.0
OI2000177,O1000104,P10036,1,28.99,0.0
OI2000178,O1000105,P10486,1,132.07,13.21
OI2000179,O1000106,P10126,1,26.47,2.65
OI2000180,O1000107,P10054,1,41.97,0.0
OI2000181,O1000108,P10335,1,14.61,0.0
OI2000182,O1000108,P10301,1,67.02,0.0
OI2000183,O1000109,P10139,1,66.99,0.0
OI2000184,O1000110,P10307,1,17.26,0.0
OI2000185,O1000110,P10321,1,51.52,0.0
OI2000186,O1000111,P10276,1,17.45,0.0
OI2000187,O1000112,P10420,1,220.85,0.0
OI2000188,O1000112,P10127,3,7.79,2.34
OI2000189,O1000112,P10047,1,60.25,0.0
OI2000190,O1000113,P10425,1,15.79,0.0
OI2000191,O1000113,P10190,1,23.7,0.0
OI2000192,O1000114,P10270,1,8.17,0.0
OI2000193,O1000114,P10044,1,9.75,0.0
OI2000194,O1000115,P10449,1,59.5,0.0
OI2000195,O1000116,P10447,1,16.18,0.0
OI2000196,O1000116,P10124,1,27.02,0.0
OI2000197,O1000117,P10434,1,91.85,9.18
OI2000198,O1000117,P10016,1,142.63,0.0
OI2000199,O1000117,P10189,1,63.99,0.0
